external_id,purchase_collection
product_template_35MI0021MP_377418,TABLERO MECANIZADO
product_template_11MI0021_374039,MADERA
product_template_9691_482ae1f0,ELX
product_template_9835_2687e053,LIT
product_template_9690_96f9aafe,ELX
product_template_8432_50dcd447,STH
product_template_10533_b728f375,METAL
product_template_12CH3120_153293,CHC
product_template_11CH3120_690019,CHC
product_template_12CH3121_786923,CHC
product_template_12CH3220_464383,CHC
product_template_11CH3220_829576,CHC
product_template_11PL1111_999145,PLT
product_template_35TA0171_987405,TAC
product_template_35TA0091_120167,TAC
product_template_8567_5376a5bc,SSX
product_template_8555_b4e0ce24,SSX
product_template_10569_c4f46836,SSX
product_template_10567_8214a7d1,SSX
product_template_10832_428a2d53,STH
product_template_10831_04709366,STH
product_template_10791_3c4e311b,SSX
product_template_9980_02dd3a4c,HUG
product_template_11FR1020_487982,FIA
product_template_8568_c1013236,SSX
product_template_8556_2ced2170,SSX
product_template_10793_5bd5a9c4,SSX
product_template_12CH4120_350039,CHC
product_template_11CH4120_838051,CHC
product_template_12CH4121_211312,CHC
product_template_12CH4220_937440,CHC
product_template_11CH4220_933964,CHC
product_template_8835_0ed9f69d,DUN
product_template_HG2344_893377,HUG
product_template_HG2440_556901,HUG
product_template_12460_ebe41b9e,ESTRUCTURA METALICA
product_template_8829_f377f9c5,DUN
product_template_12LP0052_477869,LIT
product_template_11LP0052_207911,LIT
product_template_9771_1a6e55f7,FIA
product_template_9977_0af22088,FIA
product_template_9773_71f108a9,FIA
product_template_9979_b3c387ed,FIA
product_template_12TM2300_130275,TAC
product_template_35PL1211_849449,MAV
product_template_12831_338957d7,BEA
product_template_12LO0012_390736,LIT
product_template_11LO0012_585086,HUG
product_template_9552_a75eedec,DUN
product_template_12SK0482_954643,STH
product_template_11SK0482_149911,STH
product_template_12SK0410_597779,STH
product_template_11SK0410_750996,STH
product_template_12LO6211_575953,LIT
product_template_11LO6211_883265,LIT
product_template_12LO6221_176120,LIT
product_template_11LO6221_265743,LIT
product_template_12LO6231_533224,LIT
product_template_11LO6231_883008,LIT
product_template_12LO6251_696442,LIT
product_template_11LO6251_366690,LIT
product_template_12LO6241_175769,LIT
product_template_11LO6241_898902,LIT
product_template_12LT5555_234891,LIT
product_template_11LT5555_768564,LIT
product_template_12LT5553_429361,LIT
product_template_11LT5553_224620,LIT
product_template_12LO6201_453060,LIT
product_template_11LO6201_560273,LIT
product_template_10115_ccd2a533,HUG
product_template_12496_e5f79206,HUG
product_template_10114_cee67f6b,HUG
product_template_12404_1871c673,HUG
product_template_12480_9cb9cf75,SEN
product_template_12481_1b0e3c15,SEN
product_template_12407_b5ecd029,HUG
product_template_10108_ce8fba20,HUG
product_template_10109_a9f2e919,HUG
product_template_12497_dc395a55,HUG
product_template_12447_1b6f0843,HUG
product_template_12482_5b3872d1,SEN
product_template_12483_b3910122,SEN
product_template_12448_37131d5b,HUG
product_template_12484_a5626943,SEN
product_template_12466_036b59e7,HUG
product_template_12485_f2aee523,SEN
product_template_12486_07eccc26,SEN
product_template_12471_e7cea167,HUG
product_template_12470_800104a3,HUG
product_template_12LO0692_392788,LIT
product_template_11LO0692_405443,LIT
product_template_12LO0931_244661,LIT
product_template_11LO0931_287843,LIT
product_template_HP0110_748282,HUG
product_template_11MB3015_199245,TABLERO MECANIZADO
product_template_12MB4014_803650,TABLERO MECANIZADO
product_template_11MB4014_538902,TABLERO MECANIZADO
product_template_11MB3014_644162,TABLERO MECANIZADO
product_template_12MB3014_886758,TABLERO MECANIZADO
product_template_10480_f233d7c9,TABLERO MECANIZADO
product_template_74044_849599,TORNILLERA
product_template_8549_bf1a0848,TORNILLERA
product_template_9500_b2403b28,DUN
product_template_71238_574161,STH
product_template_12MB1014_468585,TABLERO MECANIZADO
product_template_11MB1014_821595,TABLERO MECANIZADO
product_template_12MB1015_347196,TABLERO MECANIZADO
product_template_11MB1015_852161,TABLERO MECANIZADO
product_template_11714_4a147d80,ESTRUCTURA METALICA
product_template_11713_aedb0847,ESTRUCTURA METALICA
product_template_11711_9f248855,VLS
product_template_13349_0f306382,ESTRUCTURA METALICA
product_template_11720_5b059dec,ESTRUCTURA METALICA
product_template_11719_fc064959,ESTRUCTURA METALICA
product_template_11718_53f8e757,ESTRUCTURA METALICA
product_template_11723_f6639fdd,ESTRUCTURA METALICA
product_template_13120_a5942080,VLS
product_template_11722_5bf1bdf5,ESTRUCTURA METALICA
product_template_11721_d0af47b8,ESTRUCTURA METALICA
product_template_581NC017_206342,NCL
product_template_582NC017_722417,NCL
product_template_NC017_660833,NCL
product_template_10420_27591925,MGT
product_template_11VL1020_365400,VLS
product_template_12RI4121_602104,RIO
product_template_8404_39c1c289,RIO
product_template_11VL1030_568977,VLS
